X,Y,Z
4483092.147,556311.652,635.720
4483098.467,556314.714,635.840
4483112.459,556312.985,635.940
4483115.509,556309.838,636.070
4483125.064,556309.895,636.100
4483188.642,556223.237,636.773
4483189.126,556312.925,636.787
4483138.689,556390.922,635.992
4483085.897,556462.251,635.611
4483024.935,556530.999,635.202
4482991.313,556600.635,634.850
4482923.063,556709.707,634.287
4482885.426,556796.395,633.911
