"Y,""X"",""Z"""
"556523.381,""4482904.670"",""635.098"""
"556522.856,""4482906.564"",""633.856"""
"556516.715,""4482898.444"",""635.292"""
"556518.108,""4482905.293"",""635.388"""
"556508.868,""4482903.833"",""635.431"""
"556510.138,""4482908.807"",""635.475"""
"556510.510,""4482910.016"",""634.909"""
"556521.871,""4482913.436"",""634.801"""
"556530.405,""4482921.714"",""634.864"""
"556546.210,""4482932.101"",""634.832"""
"556561.809,""4482948.254"",""634.762"""
"556574.800,""4482958.487"",""634.645"""
"556591.323,""4482971.707"",""634.524"""
"556604.135,""4482984.211"",""634.813"""
"556615.033,""4482998.842"",""634.843"""
"556626.356,""4483012.946"",""634.723"""
"556637.809,""4483029.103"",""634.812"""
"556644.040,""4483039.042"",""634.946"""
"556644.871,""4483040.209"",""634.472"""
"556630.265,""4483049.681"",""634.833"""
"556631.004,""4483050.180"",""634.655"""
"556629.138,""4483050.680"",""634.785"""
"556650.069,""4483047.890"",""634.526"""
"556662.074,""4483060.736"",""634.586"""
"556668.253,""4483071.229"",""634.666"""
"556687.851,""4483068.720"",""634.549"""
"556673.725,""4483054.209"",""634.654"""
"556662.179,""4483039.013"",""634.437"""
"556659.219,""4483033.050"",""634.300"""
"556658.848,""4483031.954"",""634.757"""
"556648.538,""4483020.327"",""634.704"""
"556636.046,""4483007.981"",""634.717"""
"556626.190,""4482992.300"",""634.755"""
"556616.661,""4482977.912"",""634.645"""
"556606.119,""4482963.029"",""634.554"""
"556593.824,""4482950.578"",""634.495"""
"556581.277,""4482939.677"",""634.685"""
"556568.324,""4482925.720"",""634.636"""
"556557.103,""4482914.953"",""634.724"""
"556554.201,""4482910.028"",""634.649"""
"556554.033,""4482909.526"",""634.755"""
"556549.053,""4482897.433"",""634.667"""
"556542.910,""4482885.265"",""634.883"""
"556556.883,""4482876.365"",""635.164"""
"556558.522,""4482875.405"",""634.948"""
"556567.830,""4482887.909"",""634.630"""
"556566.117,""4482890.361"",""634.946"""
"556568.256,""4482894.932"",""634.844"""
"556569.282,""4482894.074"",""634.595"""
"556569.615,""4482895.899"",""634.758"""
"556575.427,""4482907.757"",""634.723"""
"556582.891,""4482921.093"",""634.697"""
"556594.828,""4482934.515"",""634.506"""
"556605.435,""4482945.802"",""634.542"""
"556624.708,""4482962.698"",""634.600"""
"556639.502,""4482974.269"",""634.628"""
"556652.169,""4482991.119"",""634.522"""
"556665.372,""4483008.184"",""634.695"""
"556672.126,""4483023.274"",""634.884"""
"556673.492,""4483025.863"",""634.472"""
"556684.147,""4483038.878"",""634.587"""
"556692.425,""4483052.281"",""634.483"""
"556705.428,""4483062.929"",""634.574"""
"556724.892,""4483047.512"",""634.328"""
"556714.014,""4483039.049"",""634.187"""
"556702.435,""4483030.356"",""634.520"""
"556693.806,""4483018.673"",""634.215"""
"556692.285,""4483015.946"",""634.712"""
"556685.575,""4483001.634"",""634.659"""
"556677.380,""4482985.684"",""634.358"""
"556666.401,""4482971.464"",""634.409"""
"556658.483,""4482961.329"",""634.406"""
"556646.238,""4482948.212"",""634.144"""
"556636.926,""4482933.542"",""634.445"""
"556627.695,""4482922.607"",""634.340"""
